Date, Open, High, Low, Close,LN_Return
11/6/84,170.41,170.41,168.66,170.41,0.010796884
11/5/84,168.58,168.58,167.33,168.58,0.006904789
11/2/84,167.42,167.95,167.24,167.42,-0.000418023
11/1/84,167.49,167.83,166.09,167.49,0.008393838
10/31/84,166.09,166.95,165.99,166.09,-0.004505459
10/30/84,166.84,167.33,164.78,166.84,0.012424018
10/29/84,164.78,165.29,164.67,164.78,-0.003090256
10/26/84,165.29,166.31,164.93,165.29,-0.00615201
10/25/84,166.31,167.62,166.17,166.31,-0.005337184
10/24/84,167.2,167.54,166.82,167.2,0.000658111
10/23/84,167.09,168.27,166.83,167.09,-0.001614591
10/22/84,167.36,168.36,167.26,167.36,-0.003578675
10/19/84,167.96,169.62,167.31,167.96,-0.000833185
10/18/84,168.1,168.1,163.8,168.1,0.023839318
10/17/84,164.14,165.04,163.71,164.14,-0.003891529
10/16/84,164.78,165.78,164.66,164.78,-0.005990035
10/15/84,165.77,166.15,164.09,165.77,0.009637899
10/12/84,164.18,164.47,162.78,164.18,0.008563791
10/11/84,162.78,162.87,162,162.78,0.004124479
10/10/84,162.11,162.12,160.02,162.11,0.002717897
10/9/84,161.67,162.84,161.62,161.67,-0.002841262
10/8/84,162.13,162.68,161.8,162.13,-0.003386598
10/5/84,162.68,163.32,162.51,162.68,-0.001474202
10/4/84,162.92,163.16,162.44,162.92,0.00295058
10/3/84,162.44,163.59,162.2,162.44,-0.007054595
10/2/84,163.59,165.24,163.55,163.59,-0.00627649
10/1/84,164.62,166.1,164.48,164.62,-0.008950229
09/28/84,166.1,166.96,165.77,166.1,-0.005164246
09/27/84,166.96,167.18,166.28,166.96,0.004081148
09/26/84,166.28,167.2,165.61,166.28,0.003977107
09/25/84,165.62,165.97,164.45,165.62,0.002055002
09/24/84,165.28,166.12,164.98,165.28,-0.002356853
09/21/84,165.67,168.67,165.66,165.67,-0.010806373
09/20/84,167.47,167.47,166.7,167.47,0.003169764
09/19/84,166.94,166.94,166.89,166.94,-0.004244006
09/18/84,167.65,168.87,167.64,167.65,-0.007250715
09/17/84,168.87,169.37,167.99,168.87,0.000533096
09/14/84,168.78,169.65,167.94,168.78,0.004989319
09/13/84,167.94,167.94,164.68,167.94,0.019602576
9/12/84,164.68,164.81,164.14,164.68,0.001397624
9/11/84,164.45,166.17,164.26,164.45,0.001156034
9/10/84,164.26,165.05,164.26,164.26,-0.000669446
9/7/84,164.37,166.31,164.22,164.37,-0.007757145
9/6/84,165.65,165.95,164.29,165.65,0.00824397
9/5/84,164.29,164.88,163.84,164.29,-0.003584778
9/4/84,164.88,166.68,164.73,164.88,-0.01085787
08/31/84,166.68,166.68,165.78,166.68,0.000480077
08/30/84,166.6,167.19,166.55,166.6,-0.002996706
08/29/84,167.1,168.21,167.03,167.1,-0.001793722
08/28/84,167.4,167.43,166.21,167.4,0.005751274
08/27/84,166.44,167.51,165.81,166.44,-0.006408167
08/24/84,167.51,167.52,167.12,167.51,0.002330934
08/23/84,167.12,167.78,166.61,167.12,0.000359088
08/22/84,167.06,168.8,166.92,167.06,-0.004598533
08/21/84,167.83,168.22,164.93,167.83,0.017369791
08/20/84,164.94,164.94,163.76,164.94,0.004862049
08/17/84,164.14,164.61,163.78,164.14,0.002256718
08/16/84,163.77,164.42,162.75,163.77,0.005940551
08/15/84,162.8,164.42,162.75,162.8,-0.009901676
08/14/84,164.42,166.09,164.28,164.42,-0.006124015
08/13/84,165.43,165.49,163.98,165.43,6.04504E-05
8/10/84,165.42,168.59,165.24,165.42,-0.000725163
8/9/84,165.54,165.88,161.47,165.54,0.023160924
8/8/84,161.75,163.87,161.75,161.75,-0.005917542
8/7/84,162.71,163.58,160.81,162.71,0.000676278
8/6/84,162.6,165.27,162.09,162.6,0.001538699
8/3/84,162.35,162.56,157.99,162.35,0.027222759
8/2/84,157.99,157.99,154.08,157.99,0.025059792
8/1/84,154.08,154.08,150.66,154.08,0.022446306
07/31/84,150.66,151.77,149.65,150.66,0.003124483
07/30/84,150.19,151.19,150.14,150.19,-0.006636165
07/27/84,151.19,151.38,149.99,151.19,0.007368839
07/26/84,150.08,150.16,148.83,150.08,0.00836377
07/25/84,148.83,149.3,147.26,148.83,0.006809398
07/24/84,147.82,149.28,147.78,147.82,-0.007615362
07/23/84,148.95,149.55,147.85,148.95,-0.004020106
07/20/84,149.55,158.58,149.07,149.55,-0.005468138
07/19/84,150.37,151.4,150.27,150.37,-0.006826417
07/18/84,151.4,152.38,151.11,151.4,-0.00645206
